Код БТИ;Улица;Дом;Нет информации на вкладе ТЭ;Раздвоение во вкладке ТЭ;Колич. этажей < 1;Колич. парадных < 1;Колич. квартир < 1;Общ. площадь < 50;Отаплив. площадь < 50;Жил. площадь < 50;Общ. площадь < Отаплив. площади;Общ. площадь не = (жил. + нежил.)
129002;'10-я КРАСНОАРМЕЙСКАЯ  ул.';13;;;;;;;;;;Да
129003;'10-я КРАСНОАРМЕЙСКАЯ  ул.';14;;;;;;;;;;Да
129004;'10-я КРАСНОАРМЕЙСКАЯ  ул.';19;;;;;Да;;Да;Да;;
129005;'10-я КРАСНОАРМЕЙСКАЯ  ул.';21;;;;;;;;;;Да
129007;'10-я КРАСНОАРМЕЙСКАЯ  ул.';24;;;;;;;;;;Да
129008;'10-я КРАСНОАРМЕЙСКАЯ  ул.';3;;;;;;;;;;Да
129009;'10-я КРАСНОАРМЕЙСКАЯ  ул.';4;;;;;;;;;;Да
129010;'10-я КРАСНОАРМЕЙСКАЯ  ул.';6;;;;;;;;;;Да
129011;'10-я КРАСНОАРМЕЙСКАЯ  ул.';8;;;;;;;;;;Да
129012;'10-я КРАСНОАРМЕЙСКАЯ  ул.';9;;;;;;;;;;Да
129013;'10-я КРАСНОАРМЕЙСКАЯ  ул.';9;;;;;;;;;;Да
129014;'11-я КРАСНОАРМЕЙСКАЯ ул.';12;;;;;;;;;;Да
129015;'11-я КРАСНОАРМЕЙСКАЯ ул.';13;;;;;;;;;;Да
129016;'11-я КРАСНОАРМЕЙСКАЯ ул.';14;;;;;;;;;;Да
129017;'11-я КРАСНОАРМЕЙСКАЯ ул.';16;;;;;;;;;;Да
129018;'11-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129019;'11-я КРАСНОАРМЕЙСКАЯ ул.';22;;;;;;;;;;Да
129020;'11-я КРАСНОАРМЕЙСКАЯ ул.';'2б';;;;;;;;;;Да
129021;'11-я КРАСНОАРМЕЙСКАЯ ул.';4;;;;;;;;;;Да
129028;'12-я КРАСНОАРМЕЙСКАЯ  ул.';10;;;;;;;;;;Да
129029;'12-я КРАСНОАРМЕЙСКАЯ  ул.';11;;;;;;;;;;Да
129030;'12-я КРАСНОАРМЕЙСКАЯ  ул.';12;;;;;;;;;;Да
129027;'12-я КРАСНОАРМЕЙСКАЯ  ул.';'1/21';;;;;;;;;;Да
129034;'12-я КРАСНОАРМЕЙСКАЯ  ул.';14;;;;;;;;;;Да
129037;'12-я КРАСНОАРМЕЙСКАЯ  ул.';16;;;;;;;;;;Да
129038;'12-я КРАСНОАРМЕЙСКАЯ  ул.';16;;;;;;;;;;Да
129039;'12-я КРАСНОАРМЕЙСКАЯ  ул.';19;;;;;;;;;;Да
129040;'12-я КРАСНОАРМЕЙСКАЯ  ул.';21;;;;;;;;;;Да
129043;'12-я КРАСНОАРМЕЙСКАЯ  ул.';23;;;;;;;;;;Да
129044;'12-я КРАСНОАРМЕЙСКАЯ  ул.';24;;;;;;;;;;Да
129045;'12-я КРАСНОАРМЕЙСКАЯ  ул.';3;;;;;;;;;;Да
129046;'12-я КРАСНОАРМЕЙСКАЯ  ул.';32;;;;;;;;;;Да
