Код БТИ;Нет информации на вкладе МКД;Раздвоение во вкладке МКД;Диаметр ввода > 200;Давление на вводе > 17;Итого за 2011 <= чем в месяце за 2013;Итого за 2012 <= чем в месяце за 2013;Январь 2013 >= итого 2011 или 2012;Февраль 2013 >= итого 2011 или 2012;Март 2013 >= итого 2011 или 2012;Апрель 2013 >= итого 2011 или 2012;Октябрь 2013 >= итого 2011 или 2012;Ноябрь 2013 >= итого 2011 или 2012;Декабрь 2013 >= итого 2011 или 2012;Сумма по мес. 2013 не равна Итого 2013;Договор. нагр. не в интервале [0,01: 25]
'01_000001';;;Да;Да;;;;;;;;;;;
'01_000002';;;Да;Да;;;;;;;;;;;Да
'01_000003';;;Да;Да;;;;;;;;;;;
'01_000005';;;Да;Да;;;;;;;;;;;
'01_000006';;;Да;Да;;;;;;;;;;;Да
'01_000007';;;Да;Да;;;;;;;;;;;
'01_000008';;;Да;Да;;;;;;;;;;;Да
'01_000009';;;Да;Да;;;;;;;;;;;Да
'01_000010';;;Да;Да;;;;;;;;;;;
'01_000011';;;Да;Да;;;;;;;;;;;
'01_000012';;;Да;Да;;;;;;;;;;;
'01_000013';;;Да;Да;;;;;;;;;;;
'01_000014';;;Да;Да;;;;;;;;;;;
'01_000015';;;Да;Да;;;;;;;;;;;
'01_000016';;;Да;Да;;;;;;;;;;;
'01_000017';;;Да;Да;;;;;;;;;;;
'01_000018';;;Да;Да;;;;;;;;;;;Да
'01_000019';;;Да;Да;;;;;;;;;;;
'01_000020';;;Да;Да;;;;;;;;;;;Да
'01_000021';;;Да;Да;;;;;;;;;;;
'01_000022';;;Да;Да;;;;;;;;;;;
'01_000023';;;Да;Да;;;;;;;;;;;
'01_000024';;;Да;Да;;;;;;;;;;;
'01_000026';;;Да;Да;;;;;;;;;;;
'01_000027';;;Да;Да;;;;;;;;;;;
'01_000028';;;Да;Да;;;;;;;;;;;
'01_000029';;;Да;Да;;;;;;;;;;;
'01_000030';;;Да;Да;;;;;;;;;;;
'01_000031';;;Да;Да;;;;;;;;;;;
'01_000032';;;Да;Да;;;;;;;;;;;
'01_000033';;;Да;Да;;;;;;;;;;;
'01_000034';;;Да;Да;;;;;;;;;;;
'01_000035';;;Да;Да;;;;;;;;;;;
'01_000036';;;Да;Да;;;;;;;;;;;
'01_000037';;;Да;Да;;;;;;;;;;;Да
'01_000038';;;Да;Да;;;;;;;;;;;Да
'01_000039';;;Да;Да;;;;;;;;;;;Да
'01_000040';;;Да;Да;;;;;;;;;;;Да
'01_000042';;;Да;Да;;;;;;;;;;;
'01_000043';;;Да;Да;;;;;;;;;;;
'01_000044';;;Да;Да;;;;;;;;;;;
'01_000045';;;Да;Да;;;;;;;;;;;
'01_000046';;;Да;Да;;;;;;;;;;;
'01_000047';;;Да;Да;;;;;;;;;;;
'01_000048';;;Да;Да;;;;;;;;;;;
'01_000049';;;Да;Да;;;;;;;;;;;
'01_000050';;;Да;Да;;;;;;;;;;;
'01_000051';;;Да;Да;;;;;;;;;;;Да
'01_000052';;;Да;Да;;;;;;;;;;;Да
'01_000054';;;Да;Да;;;;;;;;;;;
'01_000055';;;Да;Да;;;;;;;;;;;
'01_000056';;;Да;Да;;;;;;;;;;;
'01_000057';;;Да;Да;;;;;;;;;;;
'01_000058';;;Да;Да;;;;;;;;;;;
'01_000059';;;Да;Да;;;;;;;;;;;
'01_000060';;;Да;Да;;;;;;;;;;;
'01_000061';;;Да;Да;;;;;;;;;;;
'01_000062';;;Да;Да;;;;;;;;;;;
'01_000063';;;Да;Да;;;;;;;;;;;
'01_000064';;;Да;Да;;;;;;;;;;;
'01_000065';;;Да;Да;;;;;;;;;;;
'01_000066';;;Да;Да;;;;;;;;;;;
'01_000067';;;Да;Да;;;;;;;;;;;
'01_000068';;;Да;Да;;;;;;;;;;;
'01_000069';;;Да;Да;;;;;;;;;;;Да
'01_000070';;;Да;Да;;;;;;;;;;;
'01_000071';;;Да;Да;;;;;;;;;;;
'01_000072';;;Да;Да;;;;;;;;;;;
'01_000073';;;Да;Да;;;;;;;;;;;
'01_000074';;;Да;Да;;;;;;;;;;;
'01_000075';;;Да;Да;;;;;;;;;;;
'01_000076';;;Да;Да;;;;;;;;;;;Да
'01_000077';;;Да;Да;;;;;;;;;;;
'01_000078';;;Да;Да;;;;;;;;;;;
'01_000079';;;Да;Да;;;;;;;;;;;
'01_000080';;;Да;Да;;;;;;;;;;;
'01_000081';;;Да;Да;;;;;;;;;;;
'01_000082';;;Да;Да;;;;;;;;;;;
'01_000083';;;Да;Да;;;;;;;;;;;Да
'01_000084';;;Да;Да;;;;;;;;;;;
'01_000085';;;Да;Да;;;;;;;;;;;
'01_000086';;;Да;Да;;;;;;;;;;;
'01_000087';;;Да;Да;;;;;;;;;;;
'01_000088';;;Да;Да;;;;;;;;;;;Да
'01_000089';;;Да;Да;;;;;;;;;;;
'01_000090';;;Да;Да;;;;;;;;;;;
'01_000091';;;Да;Да;;;;;;;;;;;
'01_000092';;;Да;Да;;;;;;;;;;;
'01_000093';;;Да;Да;;;;;;;;;;;
'01_000094';;;Да;Да;;;;;;;;;;;
'01_000095';;;Да;Да;;;;;;;;;;;
'01_000096';;;Да;Да;;;;;;;;;;;
'01_000097';;;Да;Да;;;;;;;;;;;
'01_000098';;;Да;Да;;;;;;;;;;;
'01_000099';;;Да;Да;;;;;;;;;;;
'01-0001';;;Да;Да;;;;;;;;;;;Да
'01_000100';;;Да;Да;;;;;;;;;;;
'01_000101';;;Да;Да;;;;;;;;;;;
'01_000102';;;Да;Да;;;;;;;;;;;
'01_000103';;;Да;Да;;;;;;;;;;;Да
'01_000104';;;Да;Да;;;;;;;;;;;Да
'01_000105';;;Да;Да;;;;;;;;;;;Да
'01_000106';;;Да;Да;;;;;;;;;;;
'01_000107';;;Да;Да;;;;;;;;;;;Да
'01_000108';;;Да;Да;;;;;;;;;;;
'01_000109';;;Да;Да;;;;;;;;;;;
'01_000110';;;Да;Да;;;;;;;;;;;
'01_000111';;;Да;Да;;;;;;;;;;;
'01_000112';;;Да;Да;;;;;;;;;;;
'01_000113';;;Да;Да;;;;;;;;;;;
'01_000114';;;Да;Да;;;;;;;;;;;
'01_000115';;;Да;Да;;;;;;;;;;;
'01_000116';;;Да;Да;;;;;;;;;;;
'01_000117';;;Да;Да;;;;;;;;;;;
'01_000118';;;Да;Да;;;;;;;;;;;
'01_000119';;;Да;Да;;;;;;;;;;;
'01_000120';;;Да;Да;;;;;;;;;;;
'01_000121';;;Да;Да;;;;;;;;;;;Да
'01_000122';;;Да;Да;;;;;;;;;;;
'01_000123';;;Да;Да;;;;;;;;;;;Да
'01_000124';;;Да;Да;;;;;;;;;;;
'01_000125';;;Да;Да;;;;;;;;;;;
'01_000126';;;Да;Да;;;;;;;;;;;
'01_000127';;;Да;Да;;;;;;;;;;;Да
