Район;Улица;Дом;Корпус;Строение;Код БТИ;Форма управления МКД;Тип дома;Серия дома;Год постройки;Тип стен;Количество этажей;Количество подземных этажей;Количество парадных;Количество квартир;Общая площадь дома;Общая отапливаемой площадь;Площадь жилых помещений;Площадь нежилых помещений;Электоэнергия;ХВС;ГВС;Водоотведение;Отопление;Газоснабжение;Оснащение газ. колонками;Оснащение газ.плитами;Оснащение электроплитами;Кол-во лифтов дома;колич. ЭЭ;колич. ХВС;колич. ГВС;колич. ТЭ;колич. Газ;Поставщик ресурсов;Тип подключения дома;Потребитель ресурса;Вид ресурса;Ед. изм.;Кол-во приборов учета тепловой эне;Тим системы;Диаметр ввода;Давление на вводе;Температурный график тепловой сет;Наличие ГВС;Необходимость резерва ГВС;Наличие систем учета;Необходимость дииспетчиризации;Схема присоединения к тепловой се;Резервирование насосов ГВС;Потребление за 2011 год;Потребление за 2012 год;Потребление за 2013 год;Всего за 2013 январь;МР 2013 январь;Всего за 2013 февраль;МР 2013 февраль;Всего за 2013 март;МР 2013 март;Всего за 2013 апрель;МР 2013 апрель;Всего за 2013 сентябрь;МР 2013 сентябрь;Всего за 2013 октябрь;МР 2013 октябрь;Всего за 2013 ноябрь;МР 2013 ноябрь;Всего за 2013 декабрь;МР 2013 декабрь;Договорная нагрузка;Нормативный температурный график;Схема присоединения системы отопл;Количество элеваторных узлов;Транзит на отопление
'МО Адмиралтейский округ';'АДМИРАЛТЕЙСКАЯ наб.';10;;;129202;;;?;;;;?;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АДМИРАЛТЕЙСКАЯ наб.';12;;;129203;;;?;;;;?;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АДМИРАЛТЕЙСКАЯ наб.';6;;;129204;;;?;;;;?;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АДМИРАЛТЕЙСКИЙ кан.';5;;;129205;;;?;;;;?;;;;;;?;;;;;;;;;;?;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АДМИРАЛТЕЙСКИЙ кан.';7;;;129206;;;?;;;;?;;;;;;;;;;;;;;;;?;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
'МО Адмиралтейский округ';'АДМИРАЛТЕЙСКИЙ кан.';9;;;129207;;;?;;;;?;;;;;;;;;;;;;;;;;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АНГЛИЙСКАЯ наб.';22;;;129209;;;?;;;;?;;;;;;;;;;;;;;;;?;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АНГЛИЙСКАЯ наб.';48;;;129210;;;?;;;;?;;?;;?;?;;;;;;;;;;;?;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АНГЛИЙСКАЯ наб.';48;;;129211;;;?;;;;?;;;;;;;;;;;;;;;;?;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
'МО Адмиралтейский округ';'АНГЛИЙСКАЯ наб.';74;;;129212;;;?;;;;?;;;;;;;;;;;;;;;;?;;;;;?;;;;;;;;?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;?
