'Приложение № 2.1.'||||||||||||||||||||||||||||||||||||||||||||||||||||
||'Фактическое потребление тепловой энергии для нужд отопления'||||||||||||||||||||||||||||||||||||||||||||||||||
||'в многоквартирных домах (МКД)'||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Код дома БТИ'|'Поставщик ресурсов'|'Тип подключения дома (ЦТП, ИТП)'|'Вид схемы теплоснабжения (закрытая, открытая)'|'Потребитель ресурса (с кем у РСО заключен договор)'|'Вид ресурса (тепловая энергия для нужд отопления)'|'Ед. изм.'|'Кол-во приборов учета тепловой энергии'|'тип системы'|'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примеча ние'|'Суммарное фактическое потребление МКД по всем вводам'|||||||||||||||||||||||||||'Договор ная нагрузка'|'Норматив ный температур ный график**'|'Схема присоединения системы отопления (зависимая/ независимая)'|'Количество элеваторных узлов (при их наличии)'|'Наличие транзита на отопление (разгружен/ не разгружен)'|
||||||||||||||||||||'2011 год'|'2012 год '|'2013 год'||||||||||||||||||||||||||||||
||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
1|'05_000001'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||716,3678|789,11|149,89|'Д'|121,23|'Д'|69,282|'Д'|69,684|'Дср'|92,65|'Дср'|0||0||0||0||97,57|'Д'|79,96|'Д'|121,63|'Д'|801,9|||'зависимая'|1||1
2|'05_000002'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||629,6965|571,38|51,35|'Дср'|49,506|'Дср'|144,59|'Д'|92,61|'Д'|17,06|'Д'|0||0||0||0||127,31|'Д'|41,34|'Д'|104,08|'Д'|627,85|||'зависимая'|1||1
3|'05_000003'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||695,6929|716,91|133,14|'Д'|101,13|'Д'|71,724|'Дср'|70,212|'Дср'|91,36|'Дср'|0||0||0||0||6,78|'Д'|90,28|'Д'|115,28|'Д'|679,91|||'зависимая'|1||1
4|'05_000004'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||684,7246|742,19|142,24|'Д'|107,33|'Д'|140,41|'Д'|91,91|'Дср'|19|'Д'|0||0||0||0||77,58|'Д'|77,03|'Д'|102,72|'Д'|758,22|||'зависимая'|1||1
5|'05_000005'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||740,39538|726,5|154,7|'Д'|117,12|'Д'|155,55|'Д'|105,48|'Д'|23,82|'Д'|0||0||0||0||89,96|'Д'|83,75|'Д'|121,43|'Д'|851,81|||'зависимая'|1||1
6|'05_000006'|'"ОАО ""ТГК-1"""'|'ИТП'|'открытая'|'"ООО ""Жилкомсервис № 1 Кировского района"""'|'Отопление'|'Гкал'|1|'открытая'||||'да'|||||||644,4126|702,01|187,55|'Д'|114,46|'Д'|72,216|'Дср'|70,116|'Дср'|78,05|'Дср'|0||0||0||0||109,47|'Д'|106,23|'Д'|136,37|'Д'|874,46|||'зависимая'|1||1
