1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
1||'Ульянка'|'Бурцева ул.'|4|'А'||5000001|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|70|3262.89|3262.89|3177.59|85.3|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
2||'Ульянка'|'Бурцева ул.'|8|'А'||5000002|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|5|50|2504.67|2504.67|2443.87|60.8|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
3||'Ульянка'|'Бурцева ул.'|10|'А'||5000003|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|70|3300.52|3300.52|3174.12|126.4|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
4||'Ульянка'|'Бурцева ул.'|11|'А'||5000004|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|70|3246.45|3246.45|3161.25|85.2|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
5||'Ульянка'|'Бурцева ул.'|13|'А'||5000005|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|70|3296.57|3296.57|3151.97|144.6|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
6||'Ульянка'|'Бурцева ул.'|14|'А'||5000006|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|70|3291.92|3291.92|3165.22|126.7|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
7||'Ульянка'|'Бурцева ул.'|15|'А'||5000007|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|69|3252.79|3252.79|3125.99|126.8|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
8||'Ульянка'|'Бурцева ул.'|16|'А'||5000008|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|7|70|3262.32|3262.32|3176.82|85.5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
9||'Ульянка'|'Бурцева ул.'|17|'А'||5000009|'орг-ия с гос. участием'||'хрущевка'|'другое'|1969|'панельные'|5|0|7|70|3250.62|3250.62|3166.42|84.2|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
10||'Княжево'|'Ветеранов пр.'|4|'А'||5000010|'орг-ия с гос. участием'||'хрущевка'|'другое'|1965|'панельные'|5|0|7|70|3185.6|3185.6|3185.6||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|0|1|1|0
11||'Княжево'|'Ветеранов пр.'|8|'А'||5000011|'орг-ия с гос. участием'||'хрущевка'|'другое'|1964|'панельные'|5|0|7|70|3257.1|3257.1|3170.6|86.5|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
12||'Княжево'|'Ветеранов пр.'|10|'А'||5000012|'орг-ия с гос. участием'||'хрущевка'|'другое'|1964|'панельные'|5|0|7|70|3217.62|3217.62|3174.52||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
13||'Ульянка'|'Ветеранов пр.'|103|'А'||5000013|'орг-ия с гос. участием'||'хрущевка'|'другое'|1968|'панельные'|5|0|5|49|2555.74|2555.74|2385.77|169.97|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0|1|1|1|1|0
14||'Дачное'|'Ветеранов пр.'|11|'А'||5000014|'орг-ия с гос. участием'||'панельный'||1971|'панельные'|9|0|5|179|9669.52|9669.52|9328.92|340.6|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5|2|0|1|1|0
