'Приложение № 2.1.'||||||||||||||||||||||||||||||||||||||||||||||||||||
|||'Фактическое потребление тепловой энергии для нужд отопления'|||||||'центральная'|'80 мм х 2'|'среднее за'|'120-70'|'да/нет'|'да/нет'|'да/нет'|'да/нет'|'элеватор'|'да/нет'|||||||||||||||||||||||||||||||||
|||'в многоквартирных домах (МКД)'|||||||'местная'||'отопительный'||||||'безэлеватор'||||||||||||||||||||||||||||||||||
|||||||||||'или др'|'период'|'или др'|||||||||||||||||||||||||||||||||||||||
'№ п/п'||'Уникаль ный код дома'|'Поставщик ресурсов'|'Тип подключения дома (ЦТП, ИТП)'|'Вид схемы теплоснабжения (закрытая, открытая)'|'Потребитель ресурса (с кем у РСО заключен договор)'|'Вид ресурса (тепловая энергия для нужд отопления)'|'Ед. изм.'|'Кол-во приборов учета тепловой энергии'|'тип системы ГВС'|'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС'|'необходимость резерва ГВС'|'наличие систем учета ГВС'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примеча ние'|'                                          Суммарное фактическое потребление МКД по всем вводам'|||||||||||||||||||||||||||'Договор ная нагрузка'|'Норматив ный температур ный график**'|'Схема присоединения системы отопления (зависимая/ независимая)'|'Количество элеваторных узлов (при их наличии)'|'Наличие транзита на отопление (разгружен/ не разгружен)'
|||||||||||||||||||||'2011 год'|'2012 год '|'2013 год'|||||||||||||||||||||||||||||
|||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
|||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
|||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1||2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
1|'Аммермана ул'|'д. 17'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||455,66||||||||||||||||||||||||||||||
2|'Аммермана ул'|'д. 2'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||705,11||||||||||||||||||||||||||||||
3|'Аммермана ул'|'д. 22, лит. А'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||146,41||||||||||||||||||||||||||||||
4|'Аммермана ул'|'д. 25'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||177,84||||||||||||||||||||||||||||||
5|'Аммермана ул'|'д. 26'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||137,13||||||||||||||||||||||||||||||
6|'Аммермана ул'|'д. 27'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||308,82||||||||||||||||||||||||||||||
7|'Аммермана ул'|'д. 28'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||230,48||||||||||||||||||||||||||||||
8|'Аммермана ул'|'д. 29'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||284,11||||||||||||||||||||||||||||||
9|'Аммермана ул'|'д. 30'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||148,62||||||||||||||||||||||||||||||
10|'Аммермана ул'|'д. 31а'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||304,46||||||||||||||||||||||||||||||
11|'Аммермана ул'|'д. 31б'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||207,21||||||||||||||||||||||||||||||
12|'Аммермана ул'|'д. 36'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||243,88||||||||||||||||||||||||||||||
13|'Аммермана ул'|'д. 4'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||495,26||||||||||||||||||||||||||||||
14|'Аммермана ул'|'д. 44'|'"ГУП ""ТЭК СПб"""'||||'Отопление'|'Гкал'||||||||||||||480,44||||||||||||||||||||||||||||||
