1|2|3|4|5|6|7|||||'1605/12'|||15|16|17|18||||||||||||||32|33|34|35|36|37
1|'Кронштадтский'||'Аммермана ул'|'д. 17'|||'09_000001'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|54|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
2|'Кронштадтский'||'Аммермана ул'|'д. 2'|||'09_000002'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||7|55|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
3|'Кронштадтский'||'Аммермана ул'|'д. 22'|'А'||'09_000003'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||1|12|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
4|'Кронштадтский'||'Аммермана ул'|'д. 25'|||'09_000004'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|2||1|10|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
5|'Кронштадтский'||'Аммермана ул'|'д. 26'|||'09_000005'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||3|18|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
6|'Кронштадтский'||'Аммермана ул'|'д. 27'|||'09_000006'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|17|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
7|'Кронштадтский'||'Аммермана ул'|'д. 28'|||'09_000007'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||4|45|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
8|'Кронштадтский'||'Аммермана ул'|'д. 29'|||'09_000008'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||3|17|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
9|'Кронштадтский'||'Аммермана ул'|'д. 30'|||'09_000009'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||2|40|1760||1584||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
10|'Кронштадтский'||'Аммермана ул'|'д. 31'|||'09_000010'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|18|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
11|'Кронштадтский'||'Аммермана ул'|'д. 31'|'б'||'09_000011'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||2|14|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
12|'Кронштадтский'||'Аммермана ул'|'д. 36'|'б'||'09_000012'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||4|45|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
13|'Кронштадтский'||'Аммермана ул'|'д. 4'|||'09_000013'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|5||3|60|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
14|'Кронштадтский'||'Аммермана ул'|'д. 44'|||'09_000014'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|4||5|40|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
15|'Кронштадтский'||'Аммермана ул.'|'д.15/10'|||'09_000015'|'ЖК'||'индивидуальный'|'индивидуальный'||'кирпичные'|3||4|24|||||'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||||||
