'Приложение № 2.1.'||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||
'Фактическое потребление тепловой энергии для нужд отопления в многоквартирных домах (МКД)'||||||||||||||||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Код дома БТИ'|'Поставщик ресурсов'|'Тип подключения дома (ЦТП, ИТП)'|'Вид схемы теплоснабжения (закрытая, открытая)'|'Потребитель ресурса (с кем у РСО заключен договор)'|'Вид ресурса (тепловая энергия для нужд отопления)'|'Ед. изм. (Гкал)'|'Кол-во приборов учета тепловой энергии'|'тип системы'|'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|'Суммарное фактическое потребление МКД по всем вводам'|||||||||||||||||||||||||||'Договорная нагрузка'|'Нормативный температурный график**'|'Схема присоединения системы отопления (зависимая/независимая)'|'Количество элеваторных узлов (при их наличии)'|'Наличие транзита на отопление (разгружен/не разгружен)'|
||||||||||||||||||||'2011 год'|'2012 год '|'2013 год'||||||||||||||||||||||||||||||
||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
1|1201001|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|5||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||3128,67|3398,78|459,94||459,94||459,94||413,09||0||0||0||4,96||0||435,76||435,76||435,76||3565,09|1,262|'150-70'|'Зависимая'|5|'нет'|
2|1201002|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|3||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||2931,56|2841,82|460,16||290,17||206,19||45,13||0||4,44||4,44||0||0||278,5||270,05||314,33||2317,44|0,36|'150-70'|'Зависимая'|3|'нет'|
3|1201003|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||965,99|800,45|176,91||86,77||61,81||11,85||0||1,04||1,04||0||0||83,19||85,06||88,82||729,75|1,06|'150-70'|'Зависимая'|1|'нет'|
4|1201004|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||504,77|576,24|114,47||67,32||40,45||8,01||0||1,48||1,48||0||0||62,58||26,55||60,84||469,48|0,24|'150-70'|'Зависимая'|1|'нет'|
5|1201005|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||1098,32|950,52|255,39||142,37||88,03||15,87||0||0||0||0,99||0||119,84||109,85||139,27||1067,97|0,43|'150-70'|'Зависимая'|1|'нет'|
6|1201006|'"ОАО ""ТГК-1"""'|'итп'|'закрытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1||||'150-70'|'нет'|'нет'|'нет'|'нет'||'нет'||886,23|710,6|185,71||99,6||70,18||19,04||0||1,13||1,13||0||0||93,02||83,26||103,66||808,42|0,31|'150-70'|'Зависимая'|1|'нет'|
7|1201007|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||995,95|806,89|135,96||92,47||76,48||37,49||22,79||23,9||23,9||23,08||30,44||80,95||80,19||92,42||822,4|0,4|'150-70'|'Зависимая'|1|'нет'|
8|1201008|'"ОАО ""ТГК-1"""'|'итп'|'открытая'|'жкс 1 московский район'|'тепловая энергия'|'гкал'|1|'Местная'|||'150-70'|'да'|'нет'|'нет'|'нет'||'нет'||1506,94|1254,45|190,08||152,8||111,86||57,41||27,79||27,01||27,01||23,12||32,93||101,45||123,57||136,47||1182,45|0,51|'150-70'|'Зависимая'|1|'нет'|
