'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'|||||||||||||||||||||||||||||||||||||
'МОСКОВСКОГО  района'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
1|'московский'|'"""Звездное"""'|'Авиационная ул.'|11||'А, Б, В'|1201001|'част.управл.орг.с гос.участием'|||'индивид.'|1956|1|' 7/9'||8|241|16572||14085|2487|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|8|6|3||5||
2|'московский'|'"""Звездное"""'|'Авиационная ул.'|13|||1201002|'част.управл.орг.с гос.участием'|||'индивид.'|1959|1|7||7|212|16101||13537|2564|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|7|9|1||3||
3|'московский'|'"""Звездное"""'|'Авиационная ул.'|15|||1201003|'част.управл.орг.с гос.участием'|||'1-505-2'|1958|1|5||3|53|4212||3237|975|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
4|'московский'|'"""Звездное"""'|'Авиационная ул.'|17|||1201004|'част.управл.орг.с гос.участием'|||'1-505-1'|1958|1|5||2|34|2802||1910|892|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
5|'московский'|'"""Звездное"""'|'Авиационная ул.'|18|||1201005|'част.управл.орг.с гос.участием'|||'индивид.'|1962|1|7||2|92|5873||4829|1044|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|2|2|1||1||
6|'московский'|'"""Звездное"""'|'Авиационная ул.'|20|||1201006|'част.управл.орг.с гос.участием'|||'1-405-1'|1965|1|' 7/8'||3|74|4614||4050|564|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'|3|2|1||1||
7|'московский'|'"""Звездное"""'|'Авиационная ул.'|22|||1201007|'част.управл.орг.с гос.участием'|||'1 ЛГ-507'|1966|3|5||4|80|3113||3050|63|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'||1|||1||
8|'московский'|'"""Звездное"""'|'Авиационная ул.'|25|||1201008|'част.управл.орг.с гос.участием'|'общежитие'||'индивид.'|1959|1|5||2|6|5662||4466|1196|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'||4|1||1||
9|'московский'|'"""Звездное"""'|'Авиационная ул.'|26|||1201009|'част.управл.орг.с гос.участием'|||'1-405-5'|1961|1|5||3|60|2513||2494|19|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|||0||
10|'московский'|'"""Звездное"""'|'Авиационная ул.'|28|||1201010|'част.управл.орг.с гос.участием'|||'1-405-5'|1962|1|5||4|78|3484||3399|85|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
11|'московский'|'"""Звездное"""'|'Авиационная ул.'|32|||1201011|'част.управл.орг.с гос.участием'|||'1-527'|1960|3|5||3|60|2574||2557|17|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|||1||
12|'московский'|'"""Звездное"""'|'Авиационная ул.'|36|||1201012|'част.управл.орг.с гос.участием'|||'1-527'|1960|3|5||4|80|3496||3467|29|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
13|'московский'|'"""Звездное"""'|'Авиационная ул.'|40|||1201013|'част.управл.орг.с гос.участием'|||'1-527'|1960|3|5||4|80|3558||3530|28|'да'|'да'|'нет'|'да'|'да'|'да'|'да'|'да'|'нет'||1|1||1||
