'Приложение № 1'||||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД) на территории'||||||||||||||||||||||||||||||||||||||
'Выборгского района'||||||||||||||||||||||||||||||||||||||
'"Графы ""2""-""10"" заполнять по всем многоквартирным домам района"'||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Комментарии'|
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса (литера)'|'Номер строения'|'Уникаль ный код дома'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа / на сцепке / аварийный / культ. наследия'|'Тип дома'|'Серия дома'|'Год по стройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-ой парадной)"'|'Кол-во парадных'|'Кол-во квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'|||||||||||||||
'(да/нет)"'|'"ГВС'|||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'|||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'|||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'ЭЭ'|'ХВС'|'ГВС'|'ТЭ'|'Газ'||||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|
1|'Выборгский'||'1-й Муринский пр.'|1|0||'03_000001'|'орг. с гос. участием'|'ведомственный дом'|||||||||||||||||||||||||||||'СПбГТЭУ им.Ленина'
73|'Выборгский'|'"""Шувалово-Озерки"""'|'Большая Озерная'|61|0||'03_000075'|'непоср. управление'||'другое'|'индивидуальный'|2006|'Кирпичные'|3|0|1|6|2873|2873|2872,7|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0||||||'инд. котельная'|
74|'Выборгский'|'"""Шувалово-Озерки"""'|'Большая Озерная'|70|||'03_000076'|'непоср. управление'||'другое'|'индивидуальный'|2011|'Кирпичные'|5|0|5|55|9811|9811|6129,3|3681,2|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|5||||||'инд. котельная'|
78|'Выборгский'||'Большой Сампсониевский пр.'|9|0||'03_000080'|'орг. с гос. участием'|'ведомственный  дом'|||||||||||||||||||||||||||||'"Военно-медицинская академия им. С.М. Кирова, ОАО ""Славянка"" (госконтракт)"'
129|'Выборгский'||'Боткинская'|'19-21'|0||'03_000131'|'орг. с гос. участием'|'ведомственный  дом'|||||||||||||||||||||||||||||'"Военно-медицинская академия им. С.М. Кирова, ОАО ""Славянка"" (госконтракт)"'
133|'Выборгский'|'"""Шувалово-Озерки"""'|'Варваринская '|57|2||'03_000135'|'непоср. управление'||'другое'|'индивидуальный'|2003|'Кирпичные'|2|0|1|2|949|949|948,6|0|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|0||||||'инд. котельная'|
134|'Выборгский'|'"""Шувалово-Озерки"""'|'Варваринская '|57|3||'03_000136'|'непоср. управление'||'другое'|'индивидуальный'|2003|'Кирпичные'|2|0|1|2|962|962|948,7|13,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|0||||||'инд. котельная'|
148|'Выборгский'|'"""Шувалово-Озерки"""'|'Выборгское'|15|0||'03_000150'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2012|'Панельные'|'17/25'|0|9|833|54327,5|54327,5|51846,3|2481,2|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|20|||||||'ООО Радиус'
149|'Выборгский'|'"""Шувалово-Озерки"""'|'Выборгское'|35|1||'03_000151'|'Частная управляющая организация'|||'индивидуальный'|2013|'Панельные'|24|0|2|252|9900|9900|10306,9|-406,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|||||||'"ООО ""Содружество"""'
173|'Выборгский'|'"""Шувалово-Озерки"""'|'Выборгское ш.'|112|||'03_000175'|'Частная управляющая организация'||'индивидуальный'|'индивидуальный'|2010|'Кирпичные'|'3/4'|0|8|96|7891,3|7891,3|7891,3|0|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|0|||||||'"ООО ""Содружество Авангард"""'
241|'Выборгский'|'"""Шувалово-Озерки"""'|'Елизаветинская'|10|2||'03_000243'|'непоср. управление'||'другое'|'индивидуальный'|2005|'Кирпичные'|3|0|1|2|829|829|828,8|0|'да'|'да'|'да'|'да'|'да'|'да'|'нет'|'да'|'нет'|0||||||'инд. котельная'|
