'Приложение № 2.1.'|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
'Фактическое потребление тепловой энергии для нужд отопления в многоквартирных домах (МКД)'|||||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Код дома БТИ'|'Поставщик ресурсов'|'Тип подключения дома (ЦТП, ИТП)'|'Вид схемы теплоснабжения (закрытая, открытая)'|'Потребитель ресурса (с кем у РСО заключен договор)'|'Вид ресурса (тепловая энергия для нужд отопления)'|'Ед. изм. (Гкал)'|'Кол-во приборов учета тепловой энергии'|'тип системы'|'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|'Суммарное фактическое потребление МКД по всем вводам'|||||||||||||||||||||||||||'Договорная нагрузка'|'Рный температурный график**'|'Схема присоединения системы отопления (зависимая/независимая)'|'Количество элеваторных узлов (при их наличии)'|'Наличие транзита на отопление (разгружен/не разгружен)'
||||||||||||||||||||'2011 год'|'2012 год '|'2013 год'|||||||||||||||||||||||||||||
||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
1|3411|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|'2151,,21'|1715,72|411,54|'р'|411,54|'р'|411,54||407,38|'Р'|121,08|'р'|0|'р'|0|'р'|0|'р'|0|'р'|176,74|'р'|291,99|'д'|364,57|'д'|2596,38|1,1954|'105-70'|'зависимая'|3|'отсутствует'
2|3412|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2886,2|1879,45|487,34|'д'|349,59|'д'|349,2|'д'|247,03|'Д'|96,5|'д'|0|'д'|0|'д'|0|'д'|0|'д'|164|'д'|236,18|'д'|287,96|'д'|2217,8|0,93378|'105-70'|'зависимая'|3|'отсутствует'
3|3413|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|1|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|672,17|665,41|165,76|'д'|125,81|'д'|121,67|'д'|87,312|'Д'|35,15|'д'|0|'д'|0|'д'|0|'д'|0|'д'|60,243|'д'|72,86|'д'|105,21|'д'|774,015|0,2953|'105-70'|'зависимая'|1|'отсутствует'
4|3414|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|3003,55|2809|706,68|'д'|560,25|'д'|529,73|'д'|366,424|'Д'|149,54|'д'|0|'д'|0|'д'|0|'д'|0|'д'|266,931|'д'|324,39|'д'|469,27|'д'|3373,215|1,36863|'105-70'|'зависимая'|2|'отсутствует'
5|3415|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС № 1 Приморского района"""'|'Отопление'|'Гкал'|3|'центральное'|89|7,5|'130-70'|'да'|'нет'|'да'|'да'|'элеваторная'|0|0|2415,72|2388,36|601,46|'д'|478,09|'д'|449,61|'д'|334,937|'Д'|175,33|'д'|0|'д'|0|'д'|0|'д'|0|'д'|270,931|'д'|311,026|'д'|381,716|'д'|3003,1|1,20261|'105-70'|'зависимая'|3|'отсутствует'
