'Приложение № 1'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'Общие характеристики многоквартирных домов (МКД), '|||||||||||||||||||||||||||||||||||||
'"находящихся в управлении ООО ""ЖКС №№ 1-4"", ОАО ""РСУ Приморского района"""'|||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||
'"Графы ""1""-""10"" заполнять по всем многоквартирным домам района"'|||||||||||||||||||||||||||||||||||||
'№ п/п'|'Адрес МКД'|||||||||' Технические характеристики МКД'||||||||||||||||||||||'Количество общедомовых приборов учета энергоресурсов на вводах, шт.'|||||'Примечание'
|'Район'|'муниципальное образование'|'Улица'|'Номер'|'Номер корпуса'|'Номер строения'|'Код дома БТИ'|'Форма управления МКД'|'Категория дома: ведомственный / общежитие / гостиничного типа'|'Тип дома'|'Серия дома'|'Год постройки'|'Тип стен'|'"Количество этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'"Кол-во подземных этажей (при разной этажности указать через ""/"", начиная с 1-го подъезда)"'|'Количество подъездов'|'Количество квартир'|'Общая площадь дома'|'Общая отапливаемая площадь дома'|'Площадь жилых помещений'|'Площадь  нежилых помещений (за искл. мест общего пользования)'|'Электоэнергия (да/нет)'|'"ХВС'||||||||||||||
'(да/нет)"'|'"ГВС'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Водоотведение (да/нет)'|'Отопление (да/нет)'|'Газоснабжение (да/нет)'|'Оснащение газ. колонками (да/нет)'|'"Оснащение газ.плитами'||||||||||||||||||||||||||||||||
'(да/нет)"'|'"Оснащение электроплитами'||||||||||||||||||||||||||||||||||||
'(да/нет)"'|'Кол-во лифтов дома, шт.'|'Электроэнергия'|'ХВС'|'ГВС'|'Тепловая энергия'|'Газ'|||||||||||||||||||||||||||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38
1|'Приморский '|'Муниципальный округ № 65'|'Беговая'|5|1||3411|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|12|0|3|321|16484,9|16484,9|16332,8|152,1|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|4|3|3|2|0|
2|'Приморский '|'Муниципальный округ № 65'|'Беговая'|9|2||3412|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|12|0|3|237|12120,07|12120,07|11957,2|163,5|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|3|2|0|
3|'Приморский '|'Муниципальный округ № 65'|'Беговая'|9|3||3413|'ООО ЖКС №1'||'Другое'|'индивидуальный'|1991|'Кирпичные'|14|0|1|72|4009,9|4009,9|3702,5|307,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|2|0|1|1|0|
4|'Приморский '|'Муниципальный округ № 65'|'Беговая'|11|||3414|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|12|0|4|356|17969,5|17969,5|17768,7|200,8|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|8|3|1|4|2|0|
5|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|30|1||3415|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|16|0|3|237|14674|14674|14502,1|171,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|3|3|1|3|0|
6|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|30|2||3416|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|16|0|3|237|14687|14687|14565,6|121,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|3|3|0|
7|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|33|2||3417|'ООО ЖКС №1'||'Панельный'|137|1991|'Панельные'|16|0|3|237|14645,8|14645,8|14481,4|164,4|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|3|3|0|
8|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|34|2||3418|'ООО ЖКС №1'||'Панельный'|137|1990|'Панельные'|16|0|3|237|14736,9|14736,9|14547,4|189,5|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|6|2|3|0|3|0|
9|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|39|3||3419|'ООО ЖКС №1'||'Панельный'|'другое'|1991|'Панельные'|10|0|2|79|4825,8|4825,8|4657,9|167,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|2|3|2|2|1|0|
10|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|43|||34110|'ООО ЖКС №1'||'Панельный'|137|1993|'Панельные'|13|0|2|110|7431,6|7431,6|6517,7|913,9|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|4|2|3|1|1|0|
11|'Приморский '|'Муниципальный округ № 65'|'Богатырский'|48|1||34111|'ООО ЖКС №1'||'Панельный'|'другое'|2009|'Панельные'|16|0|11|816|56315,2|56315,2|54223,2|2092|'да'|'да'|'да'|'да'|'да'|'нет'|'нет'|'нет'|'да'|22|18|4|0|5|0|
