'Приложение № 2.1.'|||||||||||||||||||||||||||||||||||||||||||||||||||
||'Фактическое потребление тепловой энергии для нужд отопления'|||||||||||||||||||||||||||||||||||||||||||||||||
||'в многоквартирных домах (МКД)'|||||||||||||||||||||||||||||||||||||||||||||||||
|||||||||||||||||||||||||||||||||||||||||||||||||||
'№ п/п'|'Код дома БТИ'|'Поставщик ресурсов'|'Тип подключения дома (ЦТП, ИТП)'|'Вид схемы теплоснабжения (закрытая, открытая)'|'Потребитель ресурса (с кем у РСО заключен договор)'|'Вид ресурса (тепловая энергия для нужд отопления)'|'Ед. изм.'|'Кол-во приборов учета тепловой энергии'|'тип системы'|'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примеча ние'|'Суммарное фактическое потребление МКД по всем вводам'|||||||||||||||||||||||||||'Договор ная нагрузка'|'Норматив ный температур ный график**'|'Схема присоединения системы отопления (зависимая/ независимая)'|'Количество элеваторных узлов (при их наличии)'|'Наличие транзита на отопление (разгружен/ не разгружен)'
||||||||||||||||||||'2011 год'|'2012 год '|'2013 год'|||||||||||||||||||||||||||||
||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Сумм. объем'|'Сумм. объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
1|'18_1'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||0|21,04|21,04|'Р'|21,04|'Р'|21,04|'Р'|21,04|'Р'|6,11|'Р'|||||||3,19|'Р'|19,13|'Р'|19,13|'Р'|19,13|'Р'|171,89|0,10639||'зависимая'|0|'отсутствует'
2|'18_2'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'||'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||0|389,71|387,43|'Р'|370,61|'Р'|384,92|'Р'|351,29|'Р'|98|'Р'|||||||46,08|'Р'|275,48|'Р'|281,07|'Р'|295,74|'Р'|2880,33|0,92237||'зависимая'|0|'отсутствует'
3|'18_3'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|0|'2-х труб., зависим'|'? 50 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'нет'|'нет'|'зависимая'|'нет'||146,95|152,48|19,15|'Р'|19,15|'Р'|19,15|'Р'|19,15|'Р'|5,56|'Р'|||||||3,07|'Р'|18,4|'Р'|18,4|'Р'|18,4|'Р'|439,86|0,07526||'зависимая'|0|'отсутствует'
4|'18_4'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 65 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||904,49|866,76|160,35|'Д'|137,71|'ё'|165,77|'Д'|64,5|'Д'|39,34|'Д'|||||||0|'Д'|78,92|'Д'|82,57|'Д'|116,04|'Д'|2616,45|0,45288||'зависимая'|0|'разгружен'
6|'18_135'|'Петербургтеплоэнерго'|'ИТП'|'закрытая'|'ООО ЖКС №1 Центрального'|'Отопление'|'Гкал'|1|'2-х труб., зависим'|'? 125 мм'|'6,4 кгс/см'|'95/70 °С'|'нет'|'нет'|'да'|'нет'|'зависимая'|'нет'||1166,32|1457,7|187,07|'Р'|187,07|'Р'|187,07|'Р'|187,07|'Р'|60,34|'Р'|||||||36,47|'Р'|102,71|'Д'|110,75|'Д'|134,43|'Д'|3817|0,5761||'зависимая'|0|'разгружен'
